Fecha;Cuenta Contable;Tipo Movimiento;"Clasificación;Documento Fiscal;Centro de Costo";Valor;Saldo
2/1/2022;101;Entrada;"Ingresos por ventas ;1008792;198503";92982;92982
2/1/2022;201;Entrada;"Ingresos por ventas ;1008793;198505";99320;192302
2/1/2022;101;Entrada;"Ingresos por ventas ;1008547;198501";83762;276064
2/1/2022;202;Salida;"Gastos administrativos;1008790;198503";51906;224158
3/1/2022;201;Entrada;"Ingresos por ventas;1008548;198504";94420;318578
3/1/2022;301;Salida;"Gastos administrativos;1008791;198504";51781;266797
3/1/2022;101;Entrada;"Ingresos por ventas;1008549;198505";94077;360874
3/1/2022;202;Salida;"Gastos administrativos;1008794;198505";50275;310599
4/1/2022;301;Salida;"Gastos administrativos;1008795;198501";82106;228493
4/1/2022;301;Entrada;"Ingresos por ventas ;1008550;198504";86374;314867
4/1/2022;202;Entrada;"Ingresos por ventas ;1008552;198502";66610;381477
4/1/2022;101;Entrada;"Ingresos por ventas ;1008552;198502";80141;461618
5/1/2022;101;Salida;"Gastos comerciales;1008796;198504";54032;407586
5/1/2022;201;Salida;"Gastos comerciales;1008797;198502";54031;353555
5/1/2022;201;Salida;"Gastos en servicios;1008553;198504";52038;301517
5/1/2022;301;Entrada;"Ingresos por ventas;1008554;198501";67137;368654
5/1/2022;101;Entrada;"Ingresos por ventas ;1008555;198504";79749;448403
5/1/2022;202;Salida;"Gastos administrativos;1008556;198503";55082;393321
6/1/2022;202;Salida;"Gastos comerciales;1008798;198501";52600;340721
6/1/2022;301;Salida;"Gastos comerciales;1008799;198505";52807;287914
7/1/2022;101;Entrada;"Ingresos por ventas ;1008557;198503";84340;372254
7/1/2022;101;Entrada;"Ingresos por ventas ;1008800;198501";84988;457242
10/1/2022;201;Entrada;"Ingresos por ventas ;1008801;198503";96627;553869
10/1/2022;201;Salida;"Gastos en servicios;1008558;198502";77081;476788
10/1/2022;301;Entrada;"Ingresos por ventas;1008559;198503";80768;557556
10/1/2022;202;Salida;"Gastos en servicios;1008802;198502";26327;531229
10/1/2022;301;Salida;"Gastos en servicios;1008803;198502";37759;493470
10/1/2022;101;Entrada;"Ingresos por ventas ;1008560;198502";77922;571392
11/1/2022;202;Salida;"Gastos administrativos;1008561;198504";86276;485116
11/1/2022;101;Salida;"Gastos administrativos;1008804;198504";85066;400050
12/1/2022;201;Salida;"Gastos administrativos;1008805;198505";24979;375071
12/1/2022;202;Salida;"Gastos administrativos;1008806;198505";81166;293905
13/1/2022;301;Salida;"Gastos administrativos;1008807;198501";29272;264633
13/1/2022;101;Entrada;"Ingresos por ventas ;1008562;198501";92880;357513
14/1/2022;201;Entrada;"Ingresos por ventas ;1008562;198501";95108;452621
14/1/2022;301;Entrada;"Ingresos por ventas;1008564;198504";69543;522164
16/1/2022;101;Entrada;"Otros ingresos;1008808;198503";51127;573291
16/1/2022;201;Entrada;"Otros ingresos;1008809;198504";48394;621685
16/1/2022;101;Entrada;"Ingresos por ventas ;1008565;198505";62634;684319
16/1/2022;202;Entrada;"Ingresos por ventas ;1008562;198501";76347;760666
17/1/2022;202;Entrada;"Ingresos por ventas;1008810;198505";97821;858487
17/1/2022;301;Entrada;"Ingresos por ventas;1008811;198504";87370;945857
17/1/2022;101;Entrada;"Ingresos por ventas ;1008567;198505";83707;1029564
17/1/2022;101;Entrada;"Ingresos por ventas ;1008568;198505";71735;1101299
17/1/2022;201;Salida;"Gastos en servicios;1008569;198502";33722;1067577
17/1/2022;101;Entrada;"Ingresos por ventas;1008570;198505";67587;1135164
18/1/2022;301;Entrada;"Ingresos por ventas ;1008571;198501";74172;1209336
18/1/2022;101;Entrada;"Ingresos por ventas;1008812;198501";86994;1296330
19/1/2022;201;Entrada;"Ingresos por ventas;1008813;198503";69697;1366027
19/1/2022;202;Salida;"Gastos administrativos;1008572;198503";24272;1341755
19/1/2022;101;Entrada;"Ingresos por ventas ;1008573;198501";66378;1408133
19/1/2022;202;Salida;"Gastos de personal;1008814;198505";18189;1389944
19/1/2022;301;Salida;"Gastos de personal;1008815;198501";84781;1305163
19/1/2022;201;Entrada;"Ingresos por ventas ;1008562;198501";69272;1374435
20/1/2022;301;Entrada;"Ingresos por ventas;1008575;198502";81547;1455982
20/1/2022;101;Salida;"Gastos en servicios;1008816;198502";51428;1404554
21/1/2022;201;Salida;"Gastos en servicios;1008817;198502";21863;1382691
21/1/2022;101;Entrada;"Ingresos por ventas ;1008576;198503";83805;1466496
23/1/2022;202;Salida;"Impuestos;1008818;198504";45226;1421270
23/1/2022;301;Salida;"Impuestos;1008819;198502";46653;1374617
23/1/2022;202;Salida;"Gastos administrativos;1008577;198501";28808;1345809
23/1/2022;101;Salida;"Gastos de personal;1008820;198503";86331;1259478
23/1/2022;201;Salida;"Gastos de personal;1008821;198502";85972;1173506
23/1/2022;101;Entrada;"Ingresos por ventas ;1008578;198501";82172;1255678
23/1/2022;202;Salida;"Gastos comerciales;1008822;198505";82005;1173673
23/1/2022;301;Salida;"Gastos comerciales;1008823;198502";83554;1090119
24/1/2022;201;Salida;"Gastos en servicios;1008579;198505";33485;1056634
24/1/2022;301;Entrada;"Ingresos por ventas;1008580;198502";85179;1141813
25/1/2022;101;Entrada;"Ingresos por ventas ;1008581;198503";62891;1204704
25/1/2022;202;Entrada;"Ingresos por ventas;1008582;198502";65589;1270293
26/1/2022;101;Entrada;"Ingresos por ventas ;1008583;198503";90101;1360394
26/1/2022;201;Salida;"Gastos en servicios;1008584;198504";81036;1279358
26/1/2022;301;Entrada;"Ingresos por ventas;1008585;198505";91168;1370526
26/1/2022;101;Entrada;"Ingresos por ventas ;1008586;198504";74666;1445192
26/1/2022;202;Entrada;"Ingresos por ventas ;1008562;198501";78680;1523872
26/1/2022;101;Salida;"Gastos en servicios;1008824;198502";21836;1502036
27/1/2022;201;Salida;"Gastos en servicios;1008825;198505";55505;1446531
27/1/2022;202;Entrada;"Otros ingresos;1008826;198502";39057;1485588
28/1/2022;301;Entrada;"Otros ingresos;1008827;198502";55539;1541127
28/1/2022;201;Entrada;"Ingresos por ventas ;1008829;198501";98205;1639332
28/1/2022;301;Entrada;"Ingresos por ventas ;1008831;198504";91425;1730757
28/1/2022;101;Salida;"Gastos administrativos;1008828;198502";29340;1701417
28/1/2022;202;Salida;"Gastos administrativos;1008830;198501";28998;1672419
28/1/2022;101;Salida;"Gastos comerciales;1008832;198503";81951;1590468
31/1/2022;201;Salida;"Gastos comerciales;1008833;198504";82399;1508069
31/1/2022;202;Salida;"Gastos de personal;1008834;198504";86765;1421304
1/2/2022;301;Salida;"Gastos de personal;1008835;198505";83673;1337631
1/2/2022;101;Salida;"Gastos comerciales;1008836;198504";84254;1253377
2/2/2022;201;Salida;"Gastos comerciales;1008837;198501";91450;1161927
2/2/2022;202;Entrada;"Ingresos por ventas ;1008838;198503";74235;1236162
3/2/2022;301;Entrada;"Ingresos por ventas ;1008839;198502";97932;1334094
3/2/2022;101;Salida;"Gastos administrativos;1008840;198504";23539;1310555
4/2/2022;201;Salida;"Gastos administrativos;1008841;198505";23899;1286656
4/2/2022;202;Salida;"Gastos administrativos;1008842;198502";25414;1261242
7/2/2022;301;Salida;"Gastos administrativos;1008843;198504";19645;1241597
7/2/2022;101;Salida;"Gastos de personal;1008844;198503";17572;1224025
7/2/2022;201;Salida;"Gastos de personal;1008845;198501";86996;1137029
7/2/2022;202;Salida;"Gastos de personal;1008846;198501";82748;1054281
7/2/2022;301;Salida;"Gastos de personal;1008847;198505";18223;1036058
7/2/2022;101;Salida;"Gastos administrativos;1008848;198504";81189;954869
8/2/2022;201;Salida;"Gastos administrativos;1008849;198502";87126;867743
8/2/2022;202;Entrada;"Ingresos por ventas ;1008850;198502";71495;939238
8/2/2022;301;Entrada;"Ingresos por ventas ;1008851;198505";86298;1025536
8/2/2022;101;Entrada;"Ingresos por ventas ;1008852;198501";87752;1113288
8/2/2022;201;Entrada;"Ingresos por ventas ;1008853;198504";89876;1203164
8/2/2022;202;Salida;"Gastos de personal;1008854;198503";18204;1184960
9/2/2022;301;Salida;"Gastos de personal;1008855;198502";82866;1102094
9/2/2022;101;Salida;"Gastos administrativos;1008856;198504";23217;1078877
10/2/2022;201;Salida;"Gastos administrativos;1008857;198504";17731;1061146
10/2/2022;202;Salida;"Gastos administrativos;1008858;198501";28537;1032609
10/2/2022;301;Salida;"Gastos administrativos;1008859;198502";83489;949120
10/2/2022;101;Entrada;"Otros ingresos;1008860;198504";46055;995175
10/2/2022;201;Entrada;"Otros ingresos;1008861;198504";47015;1042190
10/2/2022;202;Entrada;"Ingresos por ventas ;1008862;198504";81227;1123417
11/2/2022;301;Entrada;"Ingresos por ventas ;1008863;198505";68984;1192401
11/2/2022;201;Entrada;"Ingresos por ventas ;1008865;198501";78143;1270544
13/2/2022;301;Entrada;"Ingresos por ventas ;1008867;198502";86541;1357085
13/2/2022;101;Salida;"Gastos de personal;1008864;198501";25558;1331527
13/2/2022;202;Salida;"Gastos de personal;1008866;198501";23124;1308403
13/2/2022;101;Salida;"Impuestos;1008868;198505";57743;1250660
14/2/2022;202;Salida;"Impuestos;1008870;198501";52017;1198643
14/2/2022;201;Salida;"Gastos comerciales;1008869;198502";91032;1107611
14/2/2022;301;Salida;"Gastos comerciales;1008871;198501";81519;1026092
14/2/2022;101;Entrada;"Ingresos por ventas ;1008872;198505";97808;1123900
14/2/2022;201;Entrada;"Ingresos por ventas ;1008873;198501";61265;1185165
14/2/2022;202;Salida;"Gastos en servicios;1008874;198504";33473;1151692
15/2/2022;301;Salida;"Gastos en servicios;1008875;198503";66151;1085541
15/2/2022;101;Salida;"Gastos comerciales;1008876;198502";93305;992236
15/2/2022;201;Salida;"Gastos comerciales;1008877;198504";92642;899594
15/2/2022;202;Entrada;"Otros ingresos;1008878;198502";33335;932929
15/2/2022;101;Entrada;"Otros ingresos;1008880;198505";40030;972959
15/2/2022;301;Salida;"Gastos en servicios;1008879;198503";81765;891194
16/2/2022;201;Salida;"Gastos en servicios;1008881;198501";84663;806531
16/2/2022;202;Salida;"Gastos en servicios;1008882;198502";33507;773024
17/2/2022;301;Salida;"Gastos en servicios;1008883;198503";21849;751175
17/2/2022;101;Salida;"Gastos administrativos;1008884;198501";22666;728509
18/2/2022;201;Salida;"Gastos administrativos;1008885;198502";19275;709234
18/2/2022;202;Salida;"Gastos administrativos;1008886;198503";93249;615985
21/2/2022;301;Salida;"Gastos administrativos;1008887;198504";18426;597559
21/2/2022;101;Salida;"Gastos administrativos;1008888;198505";21952;575607
22/2/2022;201;Salida;"Gastos administrativos;1008889;198502";18438;557169
22/2/2022;202;Entrada;"Ingresos por ventas ;1008890;198502";76503;633672
23/2/2022;301;Entrada;"Ingresos por ventas ;1008891;198505";84224;717896
23/2/2022;101;Salida;"Gastos comerciales;1008892;198505";24728;693168
24/2/2022;201;Salida;"Gastos comerciales;1008893;198505";21370;671798
24/2/2022;301;Salida;"Gastos comerciales;1008895;198504";24054;647744
25/2/2022;201;Salida;"Gastos comerciales;1008897;198502";24278;623466
25/2/2022;202;Salida;"Gastos en servicios;1008894;198501";91303;532163
28/2/2022;101;Salida;"Gastos en servicios;1008896;198501";55958;476205
28/2/2022;202;Salida;"Gastos en servicios;1008898;198505";56581;419624
28/2/2022;301;Salida;"Gastos en servicios;1008899;198503";84069;335555
28/2/2022;101;Salida;"Gastos en servicios;1008900;198503";57622;277933
28/2/2022;201;Salida;"Gastos en servicios;1008901;198503";23806;254127
28/2/2022;202;Salida;"Gastos en servicios;1008902;198505";54930;199197
1/3/2022;301;Salida;"Gastos en servicios;1008903;198503";55440;143757
1/3/2022;101;Salida;"Gastos administrativos;1008904;198503";19874;123883
6/3/2022;201;Salida;"Gastos administrativos;1008905;198504";25119;98764
6/3/2022;202;Entrada;"Ingresos por ventas ;1008906;198501";57805;156569
6/3/2022;301;Entrada;"Ingresos por ventas ;1008907;198504";58112;214681
6/3/2022;101;Entrada;"Otros ingresos;1008908;198505";59268;273949
7/3/2022;202;Entrada;"Otros ingresos;1008910;198501";32946;306895
7/3/2022;201;Salida;"Gastos comerciales;1008909;198502";22277;284618
7/3/2022;301;Salida;"Gastos comerciales;1008911;198502";23945;260673
7/3/2022;101;Salida;"Gastos administrativos;1008912;198502";81483;179190
7/3/2022;201;Salida;"Gastos administrativos;1008913;198501";17934;161256
7/3/2022;202;Salida;"Gastos en servicios;1008914;198502";56225;105031
7/3/2022;301;Salida;"Gastos en servicios;1008915;198504";76303;28728
7/3/2022;101;Entrada;"Ingresos por ventas ;1008916;198502";66121;94849
10/3/2022;201;Entrada;"Ingresos por ventas ;1008917;198502";72968;167817
10/3/2022;202;Salida;"Gastos comerciales;1008918;198502";21729;146088
10/3/2022;301;Salida;"Gastos comerciales;1008919;198505";23612;122476
10/3/2022;101;Salida;"Impuestos;1008920;198502";59632;62844
14/3/2022;202;Salida;"Impuestos;1008922;198503";59151;3693
14/3/2022;201;Salida;"Gastos de personal;1008921;198503";24065;-20372
14/3/2022;301;Salida;"Gastos de personal;1008923;198504";23999;-44371
14/3/2022;101;Entrada;"Ingresos por ventas;1008924;198502";85500;41129
18/3/2022;201;Entrada;"Ingresos por ventas;1008925;198502";62496;103625
18/3/2022;202;Salida;"Gastos de personal;1008926;198501";22177;81448
18/3/2022;301;Entrada;"Ingresos por ventas;1008927;198505";19796;101244
18/3/2022;101;Entrada;"Ingresos por ventas;1008928;198503";81727;182971
19/3/2022;201;Entrada;"Ingresos por ventas;1008929;198503";55641;238612
19/3/2022;202;Entrada;"Ingresos por ventas;1008930;198503";54523;293135
19/3/2022;301;Entrada;"Ingresos por ventas;1008931;198502";33008;326143
19/3/2022;201;Entrada;"Ingresos por ventas;1008933;198505";23941;350084
